stem,model,perturbation,level,psnr,ssim,lpips,clip_cos,dinov2L_cos
20260505_154005_0c4eecad,teacher_15b,clean,0.0,23.626051553265878,0.7993283271789551,0.10466928780078888,0.9296857118606567,0.9604036808013916
20260505_154005_0c4eecad,student_l1b_c,clean,0.0,22.040584366559465,0.7564992904663086,0.1486237645149231,0.862774133682251,0.9097120761871338
20260505_154005_0c4eecad,teacher_15b,exposure,0.8,22.745261289158137,0.7848497629165649,0.11154445260763168,0.9263705015182495,0.9536164402961731
20260505_154005_0c4eecad,student_l1b_c,exposure,0.8,20.91135385047354,0.7400112152099609,0.155714750289917,0.8426414132118225,0.8709558844566345
20260505_154005_0c4eecad,teacher_15b,exposure,1.2,23.197827473298936,0.7991137504577637,0.1081627756357193,0.9246886968612671,0.9588037729263306
20260505_154005_0c4eecad,student_l1b_c,exposure,1.2,21.510863054203245,0.7560691833496094,0.15390536189079285,0.8794938325881958,0.9166072607040405
20260505_154005_0c4eecad,teacher_15b,gamma,0.8,23.57817050272925,0.7986088991165161,0.10463378578424454,0.9303805828094482,0.9592828750610352
20260505_154005_0c4eecad,student_l1b_c,gamma,0.8,21.988863353417827,0.7548724412918091,0.1490294188261032,0.8602930903434753,0.9002987742424011
20260505_154005_0c4eecad,teacher_15b,gamma,1.2,23.63449251952328,0.7989804744720459,0.10508172959089279,0.9287328720092773,0.9608536958694458
20260505_154005_0c4eecad,student_l1b_c,gamma,1.2,21.960172666699705,0.7557634115219116,0.15024876594543457,0.8630595803260803,0.9126052856445312
20260505_154005_0c4eecad,teacher_15b,blur,1.0,20.24886671269771,0.6483492255210876,0.36450982093811035,0.836516261100769,0.7987226843833923
20260505_154005_0c4eecad,student_l1b_c,blur,1.0,18.464583296563514,0.6121372580528259,0.41175538301467896,0.8125918507575989,0.7813916206359863
20260505_154005_0c4eecad,teacher_15b,blur,2.0,14.866649396557944,0.4759138226509094,0.631085991859436,0.6870900392532349,0.5530151128768921
20260505_154005_0c4eecad,student_l1b_c,blur,2.0,15.672881440889912,0.4481756091117859,0.6638330221176147,0.7320883274078369,0.4880339205265045
20260505_154005_0c4eecad,teacher_15b,noise,0.01,22.859621058015268,0.7754220962524414,0.10723374783992767,0.8787097334861755,0.9448480010032654
20260505_154005_0c4eecad,student_l1b_c,noise,0.01,21.10759344446231,0.7359474897384644,0.15462101995944977,0.8514094352722168,0.912506103515625
20260505_154005_0c4eecad,teacher_15b,noise,0.03,17.459012472968602,0.6619080901145935,0.18912485241889954,0.8376321792602539,0.8752548694610596
20260505_154005_0c4eecad,student_l1b_c,noise,0.03,17.14874055801545,0.6266518831253052,0.2548578083515167,0.7675776481628418,0.8202967643737793
20260505_161139_0c4eecad,teacher_15b,clean,0.0,21.673990747559053,0.7550300359725952,0.12110446393489838,0.9754725694656372,0.9663997888565063
